,NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
1409,5,3397,,,,,,,,,,,,,
1410,2,3400,,,,,,,,,,,,,
1411,14,3427,,,,,,,,,,,,,
1412,3,3428,,,,,,,,,,,,,
1413,13,3430,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,0.0,1.0,0.0,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.3076923076923077,0.3076923076923077
1414,1,3431,,,,,,,,,,,,,
1415,9,3432,Privada sem fins lucrativos,Sudeste,São Paulo,2.0,0.0,0.0,1.0,2.0,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444
1416,6,3434,,,,,,,,,,,,,
1417,2,3436,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,1.0,0.0,0.0,1.5,1.5,1.5,1.0,1.0
1418,9,3437,Privada com fins lucrativos,Sul,Santa Catarina,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
1419,19,3443,Privada com fins lucrativos,Sul,Rio Grande do Sul,7.0,6.0,10.0,4.0,0.0,3.1578947368421053,3.3157894736842106,3.736842105263158,2.1052631578947367,2.1052631578947367
1420,7,3448,,,,,,,,,,,,,
1421,11,3456,,,,,,,,,,,,,
1422,4,3488,,,,,,,,,,,,,
1423,8,3495,Privada com fins lucrativos,Sul,Santa Catarina,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.125,0.125
1424,1,3506,,,,,,,,,,,,,
1425,2,3509,,,,,,,,,,,,,
1426,5,3513,,,,,,,,,,,,,
1427,3,3514,,,,,,,,,,,,,
1428,18,3515,,,,,,,,,,,,,
1429,3,3516,,,,,,,,,,,,,
1430,9,3518,,,,,,,,,,,,,
1431,2,3522,,,,,,,,,,,,,
