CO_UF,CO_MUNICIPIO,IN_CAPITAL,CO_CURSO,IN_AJUDA_DEFICIENTE,IN_MATERIAL_DIGITAL,IN_MATERIAL_AMPLIADO,IN_MATERIAL_TATIL,IN_MATERIAL_IMPRESSO,IN_MATERIAL_AUDIO,IN_MATERIAL_BRAILLE,IN_MATERIAL_LIBRAS,IN_DISCIPLINA_LIBRAS,IN_TRADUTOR_LIBRAS,IN_GUIA_INTERPRETE,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,,,
53,5300108,1,33206,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,33209,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34642,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34644,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34983,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,34992,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44362,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44364,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44365,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44366,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44369,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44372,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44376,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44377,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44382,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,44418,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,52159,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,70638,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,85124,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,92262,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,92267,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,101550,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112158,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112160,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112162,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112164,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,112166,1,1,0,1,1,0,1,1,1,1,1,0,1,,,
,,,112170,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112176,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112790,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112792,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112794,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112796,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112804,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112816,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112818,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112872,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112887,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112889,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,112891,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122198,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122200,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122202,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122204,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122206,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122208,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,122210,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122212,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122214,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122218,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,122220,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,300118,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,300129,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,300151,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1138293,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1138344,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1138345,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1138346,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140035,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140048,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140050,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140062,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140082,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140088,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1140091,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1173351,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1192413,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1192414,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1192415,,1,1,1,1,1,1,1,1,1,1,1,1,309,,
53,5300108,1,1192419,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1269978,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1314245,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,1349598,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
,,,1434981,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5000587,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001034,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
53,5300108,1,5001035,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
