id_ies,cod,nome,categoria,sigla,tipo_organizacao
1007,4163,"CENTRO UNIVERSITÁRIO BARRIGA VERDE","Privada sem fins lucrativos",UNIBAVE,"Centro Universitário"
1008,1992,"INSTITUTO DE ENSINO SUPERIOR DE PIEDADE","Privada com fins lucrativos",IESP,Faculdade
1009,1708,"INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR","Privada com fins lucrativos",IPESU,Faculdade
1010,1706,"FACULDADE DE INFORMÁTICA DO RECIFE","Privada com fins lucrativos",FACIR,Faculdade
1011,1707,"FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE","Privada com fins lucrativos",FACCOR,Faculdade
1012,2242,"FACULDADE DO RECIFE","Privada com fins lucrativos",FAREC,Faculdade
1013,2566,"INSTITUTO DE ENSINO SUPERIOR DE OLINDA","Privada com fins lucrativos",IESO,Faculdade
1014,1712,"FACULDADE DE CIÊNCIAS E TECNOLOGIA DE TERESINA","Privada com fins lucrativos",FACET,Faculdade
1015,1713,"FACULDADE DE TECNOLOGIA DE SÃO VICENTE","Privada com fins lucrativos",FATEF,Faculdade
1016,1790,"FACULDADE DO SUL DA BAHIA","Privada sem fins lucrativos",FASB,Faculdade
1017,1717,"Faculdade de Imperatriz Wyden","Privada com fins lucrativos","Facimp Wyden",Faculdade
1018,1718,"FACULDADE NOBRE DE FEIRA DE SANTANA","Privada com fins lucrativos",FAN,Faculdade
1019,1720,"FACULDADE MINAS GERAIS","Privada com fins lucrativos",FAMIG,Faculdade
1020,1721,"FACULDADE DE VIÇOSA","Privada com fins lucrativos",FDV,Faculdade
1021,19943,"Faculdade Sapiens","Privada com fins lucrativos",SAPIENS,Faculdade
1022,1723,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG","Privada sem fins lucrativos",,Faculdade
1023,4943,"ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG DA BAIXADA SANTISTA","Privada sem fins lucrativos",,Faculdade
1024,1725,"FACULDADE XV DE AGOSTO","Privada com fins lucrativos",FAQ,Faculdade
1025,1726,"CENTRO UNIVERSITÁRIO SANTA AMÉLIA","Privada com fins lucrativos",SECAL,"Centro Universitário"
1026,1727,"FACULDADE DE CARIACICA","Privada com fins lucrativos","FAC DE CARIACICA",Faculdade
1027,1515,"FACULDADE DE EDUCAÇÃO DE PORTO VELHO","Privada com fins lucrativos",UNIRON,Faculdade
