CODIGO_IES,NOME_IES,TIPO_CATEGORIA_ADM,SIGLA_IES,TIPO_ORG_ACADEMICA
3992,FACULDADE JK - PLANO PILOTO,Privada com fins lucrativos,-,Faculdade
2904,FACULDADE JK - GUARÁ,Privada com fins lucrativos,JK,Faculdade
2910,FACULDADE VERDE NORTE,Privada com fins lucrativos,FAVENORTE,Faculdade
2915,FACULDADE CIDADE DE PATOS DE MINAS,Privada sem fins lucrativos,FPM,Faculdade
2918,FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA REUNIDA,Privada com fins lucrativos,FESAR,Faculdade
2613,Centro Universitário Meta,Privada com fins lucrativos,,Centro Universitário
2935,FACULDADE DE TALENTOS HUMANOS,Privada com fins lucrativos,FACTHUS,Faculdade
2949,FACULDADE DO BAIXO PARNAÍBA,Privada com fins lucrativos,FAP,Faculdade
2950,Centro Universitário FADERGS,Privada com fins lucrativos,FADERGS,Centro Universitário
2961,FACULDADE DO PANTANAL MATOGROSSENSE,Privada com fins lucrativos,FAPAN,Faculdade
2964,FACULDADE PROJEÇÃO DO GUARÁ,Privada sem fins lucrativos,,Faculdade
2971,FACULDADE BARRETOS,Privada com fins lucrativos,FB,Faculdade
3004,INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA,Privada com fins lucrativos,IESC,Faculdade
3008,FACULDADE DO INSTITUTO NACIONAL DE PÓS-GRADUAÇÃO DE SÃO JOSÉ DOS CAMPOS,Privada com fins lucrativos,FACULDADE INPG - SJC,Faculdade
3012,FAJOPA - FACULDADE JOÃO PAULO II,Privada sem fins lucrativos,FAJOPA,Faculdade
3020,FACULDADE SANTA RITA DE CÁSSIA,Privada com fins lucrativos,IFASC,Faculdade
3029,FACULDADE DA AMAZÔNIA,Privada com fins lucrativos,FAAM,Faculdade
3034,FACULDADE DELTA,Privada com fins lucrativos,FACDELTA,Faculdade
3039,FACULDADE VASCONCELLOS & SOUZA,Privada sem fins lucrativos,,Faculdade
3042,CHRISTUS FACULDADE DO PIAUÍ,Privada com fins lucrativos,CHRISFAPI,Faculdade
3051,FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS,Privada sem fins lucrativos,FAETEL,Faculdade
13832,FACULDADE SAGRADA FAMÍLIA,Privada sem fins lucrativos,FASF,Faculdade
3099,FACULDADE INTERNACIONAL DA PARAÍBA,Privada com fins lucrativos,FPB,Faculdade
3146,FACULDADE DE ODONTOLOGIA DO RECIFE,Privada sem fins lucrativos,FOR,Faculdade
3148,FACULDADE ANCHIETA DO RECIFE,Privada com fins lucrativos,FAR,Faculdade
3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,Privada sem fins lucrativos,UNOCHAPECÓ,Universidade
146,CENTRO UNIVERSITÁRIO DE RIO PRETO,Privada com fins lucrativos,UNIRP,Centro Universitário
3171,FACULDADE EQUIPE,Privada sem fins lucrativos,,Faculdade
3172,UNIVERSIDADE DO ESTADO DO AMAZONAS,Pública Estadual,UEA,Universidade
3192,INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAJAZEIRAS,Privada com fins lucrativos,ISEC,Faculdade
3194,FACULDADE DE MINAS BH,Privada com fins lucrativos,FAMINAS-BH,Faculdade
3204,FACULDADE DE QUATRO MARCOS,Privada com fins lucrativos,FQM,Faculdade
3205,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE VIÇOSA,Privada com fins lucrativos,FAVIÇOSA,Faculdade
3223,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,Pública Estadual,ESCS,Faculdade
3268,FACULDADE MADRE THAIS,Privada com fins lucrativos,FMT,Faculdade
4597,FACULDADE FUTURA,Privada sem fins lucrativos,,Faculdade
3285,FACULDADE SANTO ANTONIO,Privada com fins lucrativos,FSA,Faculdade
5133,FACULDADE SENAC SÃO MIGUEL DO OESTE,Privada sem fins lucrativos,,Faculdade
5131,FACULDADE SENAC CAÇADOR,Privada sem fins lucrativos,SENAC,Faculdade
4294,FACULDADE SENAC JARAGUÁ DO SUL,Privada sem fins lucrativos,,Faculdade
3948,FACULDADE SENAC BLUMENAU,Privada sem fins lucrativos,SENAC,Faculdade
3947,FACULDADE SENAC CHAPECÓ,Privada sem fins lucrativos,SENAC,Faculdade
3946,FACULDADE SENAC TUBARÃO,Privada sem fins lucrativos,,Faculdade
3295,FACULDADE SENAC FLORIANÓPOLIS,Privada sem fins lucrativos,SENAC FLORIANÓPOLIS,Faculdade
18201,FACULDADE SENAC PALHOÇA,Privada sem fins lucrativos,SENAC Palhoça,Faculdade
17777,FACULDADE SENAC CONCÓRDIA,Privada sem fins lucrativos,,Faculdade
17277,Faculdade  SENAC Criciúma,Privada sem fins lucrativos,Senac Criciúma,Faculdade
3332,FACULDADE DE TECNOLOGIA SENAC RIO,Privada sem fins lucrativos,FATEC,Faculdade
3299,FACULDADE DE TECNOLOGIA INFORMÁTICA,Privada com fins lucrativos,FATI,Faculdade
3302,Faculdade REGES de Junqueirópolis,Privada sem fins lucrativos,,Faculdade
3306,FACULDADE DE TECNOLOGIA IPUC,Privada sem fins lucrativos,FATIPUC,Faculdade
3308,FACULDADE DE TECNOLOGIA TERMOMECÂNICA,Privada sem fins lucrativos,FTT,Faculdade
754,Centro Superior Una de Catalao,Privada com fins lucrativos,UNACAT,Faculdade
3319,Instituto Universitário Una de Catalao,Privada com fins lucrativos,Catalana,Faculdade
18474,FACULDADE UNA DE CATALÃO,Privada com fins lucrativos,UNA,Faculdade
4496,FACULDADE DE TECNOLOGIA DO VALE DO IVAÍ,Privada com fins lucrativos,FATEC-IVAI,Faculdade
3323,INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS,Privada com fins lucrativos,IESCAMP,Faculdade
12784,FACULDADE DE TECNOLOGIA FTEC,Privada com fins lucrativos,FTEC Novo Hamburgo,Faculdade
4097,FACULDADE DE TECNOLOGIA FTEC,Privada com fins lucrativos,FTEC Bento Gonçalves,Faculdade
3333,CENTRO UNIVERSITÁRIO UNIFTEC,Privada com fins lucrativos,,Centro Universitário
3337,FACULDADE DE TECNOLOGIA DE TERESINA,Privada com fins lucrativos,FACULDADE CET,Faculdade
3339,FACULDADE IDEAU DE GETÚLIO VARGAS,Privada com fins lucrativos,IDEAU,Faculdade
14288,FACULDADE CATÓLICA DE SANTA CATARINA,Privada sem fins lucrativos,FACASC,Faculdade
3360,INSTITUTO DE EDUCAÇÃO SUPERIOR PRESIDENTE KENNEDY - CENTRO DE FORMAÇÃO DE PROFISSIONAIS DE EDUCAÇÃO,Pública Estadual,IFESP,Faculdade
14165,FACULDADE TRÊS PONTAS,Privada sem fins lucrativos,FATEP,Faculdade
3955,FACULDADES INTEGRADAS DE CATAGUASES,Privada sem fins lucrativos,FIC,Faculdade
3368,CENTRO UNIVERSITÁRIO DO SUL DE MINAS,Privada sem fins lucrativos,UNIS-MG,Centro Universitário
20591,FACULDADE POUSO ALEGRE,Privada sem fins lucrativos,FPA,Faculdade
2229,FACULDADE VICTOR HUGO,Privada com fins lucrativos,FVH,Faculdade
3954,FACULDADE EDUCACIONAL JURÍDICA E GERENCIAL DE OLIVEIRA,Privada sem fins lucrativos,FEJUGO,Faculdade
3371,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,Privada sem fins lucrativos,UNIPAM,Centro Universitário
3372,CENTRO UNIVERSITÁRIO DE LAVRAS,Privada sem fins lucrativos,UNILAVRAS,Centro Universitário
3375,INSTITUTO DE ENSINO SUPERIOR MÚLTIPLO,Privada com fins lucrativos,IESM,Faculdade
3376,FACULDADE DE TEOLOGIA INTEGRADA,Privada sem fins lucrativos,FATIN,Faculdade
3388,FACULDADE PARAÍSO DO CEARÁ,Privada com fins lucrativos,FAP,Faculdade
3393,FACULDADE DE ENSINO SUPERIOR DOM BOSCO,Privada com fins lucrativos,FACDOMBOSCO,Faculdade
3396,FACULDADE LS,Privada com fins lucrativos,FACELS,Faculdade
3397,FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS   SOCIAIS E BIOTECNOLÓGICAS,Privada sem fins lucrativos,FBNCTSB,Faculdade
4261,FACULDADE DE TECNOLOGIA DE PORTO ALEGRE,Privada com fins lucrativos,FATEPA,Faculdade
4077,Faculdade QI Brasil,Privada com fins lucrativos,FAQI,Faculdade
3428,FACULDADE ALFA AMÉRICA,Privada com fins lucrativos,,Faculdade
