NUM_CURSOS,CODIGO_IES,TIPO_CATEGORIA_ADM,REGIAO,UF,DEFICIENCIA_FISICA,DEFICIENCIA_AUDITIVA,DEFICIENCIA_VISUAL,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA
17,1996,,,,,,,,,,,,,
8,1998,,,,,,,,,,,,,
15,2005,Privada com fins lucrativos,Centro-Oeste,Mato Grosso,9.0,7.0,32.0,9.0,0.0,5.6,5.6,7.466666666666667,3.7333333333333334,3.7333333333333334
8,2009,,,,,,,,,,,,,
3,2015,Privada sem fins lucrativos,Sudeste,Minas Gerais,0.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,2.6666666666666665,2.6666666666666665
3,2021,,,,,,,,,,,,,
6,2022,Privada com fins lucrativos,Norte,Rondônia,3.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
22,2023,Privada com fins lucrativos,Nordeste,Bahia,3.0,1.0,2.0,1.0,1.0,2.090909090909091,1.6818181818181819,2.3636363636363638,1.4090909090909092,1.4090909090909092
8,2027,,,,,,,,,,,,,
3,2035,,,,,,,,,,,,,
12,2036,Privada com fins lucrativos,Norte,Pará,7.0,2.0,5.0,0.0,0.0,1.6666666666666667,1.6666666666666667,2.0,1.0,1.0
13,2037,Privada com fins lucrativos,Nordeste,Bahia,5.0,5.0,5.0,6.0,0.0,3.6923076923076925,3.6923076923076925,4.923076923076923,2.4615384615384617,2.4615384615384617
1,2039,Privada com fins lucrativos,Sudeste,São Paulo,0.0,0.0,0.0,1.0,0.0,6.0,6.0,5.0,4.0,4.0
15,2040,Privada com fins lucrativos,Sudeste,Minas Gerais,2.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.13333333333333333
6,2041,,,,,,,,,,,,,
6,2042,,,,,,,,,,,,,
9,2043,,,,,,,,,,,,,
3,2045,,,,,,,,,,,,,
3,2049,Privada sem fins lucrativos,Nordeste,Maranhão,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2054,,,,,,,,,,,,,
8,2056,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,1.0,0.0,0.0,1.25,1.75,1375,875,875
13,2058,Privada com fins lucrativos,Norte,Rondônia,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.46153846153846156,1.0,0.46153846153846156,0.46153846153846156
19,2067,,,,,,,,,,,,,
3,2069,,,,,,,,,,,,,
2,2072,,,,,,,,,,,,,
1,2073,,,,,,,,,,,,,
6,2075,,,,,,,,,,,,,
97,2076,,,,,,,,,,,,,
11,2079,Privada com fins lucrativos,Norte,Pará,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.6363636363636364,0.5454545454545454,0.36363636363636365,0.36363636363636365
2,2082,Privada com fins lucrativos,Nordeste,Paraíba,3.0,2.0,1.0,6.0,0.0,2.5,1.5,3.0,1.5,1.5
2,2084,Privada sem fins lucrativos,Sul,Rio Grande do Sul,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,2.0
14,2085,,,,,,,,,,,,,
19,2086,,,,,,,,,,,,,
1,2091,,,,,,,,,,,,,
3,2096,Privada sem fins lucrativos,Sudeste,Minas Gerais,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,2.0,1.6666666666666667,0.6666666666666666,0.6666666666666666
12,2098,Privada sem fins lucrativos,Nordeste,Ceará,0.0,0.0,3.0,0.0,0.0,0.16666666666666666,0.25,0.5,0.08333333333333333,0.08333333333333333
55,2111,Privada sem fins lucrativos,Nordeste,Ceará,3.0,1.0,2.0,2.0,0.0,0.6,0.32727272727272727,0.4727272727272727,0.32727272727272727,0.32727272727272727
8,2113,,,,,,,,,,,,,
4,2117,Privada com fins lucrativos,Sul,Paraná,1.0,0.0,0.0,0.0,0.0,1.25,1.0,1.25,0.75,0.75
23,2122,Privada com fins lucrativos,Nordeste,Sergipe,14.0,4.0,10.0,3.0,2.0,2.1739130434782608,2.608695652173913,2.608695652173913,1.3043478260869565,1.3043478260869565
22,2123,Privada com fins lucrativos,Sudeste,São Paulo,1.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.13636363636363635,0.13636363636363635
7,2124,Privada com fins lucrativos,Sudeste,Minas Gerais,0.0,0.0,0.0,1.0,0.0,0.8571428571428571,1.1428571428571428,1.0,0.5714285714285714,0.5714285714285714
1,2126,,,,,,,,,,,,,
1,2128,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,0.0,0.0,1.0,0.0,4.0,5.0,5.0,2.0,2.0
1,2129,Privada sem fins lucrativos,Sudeste,São Paulo,0.0,0.0,0.0,2.0,0.0,6.0,6.0,5.0,4.0,4.0
1,2131,,,,,,,,,,,,,
21,2132,Privada com fins lucrativos,Norte,Acre,5.0,2.0,1.0,634.0,0.0,0.23809523809523808,2.5238095238095237,2.4285714285714284,0.14285714285714285,0.14285714285714285
6,2133,Privada sem fins lucrativos,Norte,Roraima,1.0,1.0,1.0,0.0,0.0,2.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333
