NUM_CURSOS,CODIGO_IES,DEFICIENCIA_FISICA,DEFICIENCIA_VISUAL,DEFICIENCIA_AUDITIVA,DEFICIENCIA_COGNITIVA,DEFICIENCIA_MULTIPLA,RECURSOS_DEF_FISICA,RECURSOS_DEF_VISUAL,RECURSOS_DEF_AUDITIVA,RECURSOS_DEF_COGNITIVA,RECURSOS_DEF_MULTIPLA,CLASS
78,23,33.0,17.0,17.0,1.0,1.0,5.307692307692308,7.076923076923077,6.1923076923076925,3.5384615384615383,3.5384615384615383,2
39,24,3.0,3.0,0.0,2.0,0.0,1.0769230769230769,1.6153846153846154,1.435897435897436,0.717948717948718,0.717948717948718,2
33,27,4.0,0.0,1.0,1.0,0.0,1.0909090909090908,1.4545454545454546,1.4545454545454546,0.7272727272727273,0.7272727272727273,3
83,29,32.0,95.0,18.0,3.0,2.0,0.0,0.0,1.7228915662650603,0.0,0.0,3
32,30,2.0,1.0,0.0,1.0,0.0,0.0,0.0,125.0,0.0,0.0,3
15,32,6.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9,33,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3
16,34,37.0,38.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
7,35,6.0,0.0,3.0,0.0,0.0,4.0,4.0,2.7142857142857144,2.7142857142857144,2.7142857142857144,3
5,36,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,37,1.0,5.0,0.0,4.0,0.0,2.571428571428572,5.142857142857143,3.857142857142857,1.2857142857142858,1.2857142857142858,0
129,38,12.0,13.0,26.0,2.0,0.0,0.8217054263565892,0.8217054263565892,1.255813953488372,0.4108527131782946,0.4108527131782946,0
131,40,17.0,30.0,13.0,11.0,2.0,0.0305343511450381,0.0229007633587786,0.3053435114503817,0.0229007633587786,0.0229007633587786,3
57,43,25.0,176.0,36.0,87.0,7.0,30.526315789473685,40.82456140350877,36.14035087719298,20.350877192982452,20.350877192982452,1
173,47,117.0,66.0,25.0,60.0,5.0,6.052023121387284,8.710982658959537,6.098265895953757,4.433526011560693,4.433526011560693,1
88,54,4.0,9.0,7.0,0.0,0.0,0.3522727272727273,0.4204545454545454,0.5,0.2954545454545454,0.2954545454545454,2
296,55,12.0,10.0,8.0,23.0,0.0,0.6587837837837838,0.6587837837837838,0.527027027027027,0.3952702702702703,0.3952702702702703,0
215,56,29.0,24.0,17.0,36.0,7.0,0.5255813953488372,0.5488372093023256,0.5302325581395348,0.3488372093023256,0.3488372093023256,0
88,57,30.0,332.0,25.0,6.0,1.0,26.318181818181817,39.47727272727273,35.09090909090909,17.545454545454547,17.545454545454547,0
1,59,3.0,0.0,0.0,0.0,0.0,12.0,18.0,6.0,6.0,6.0,1
16,60,1.0,0.0,1.0,1.0,0.0,1125.0,1125.0,1.25,0.75,0.75,1
73,71,94.0,49.0,19.0,11.0,4.0,14.054794520547944,21.08219178082192,18.73972602739726,9.36986301369863,9.36986301369863,3
9,73,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
54,76,12.0,12.0,11.0,3.0,3.0,4.203703703703703,5.592592592592593,4.888888888888889,2.7962962962962963,2.7962962962962963,3
7,79,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,1
26,80,18.0,4.0,4.0,11.0,2.0,8.076923076923077,10.76923076923077,9.423076923076923,5.384615384615385,5.384615384615385,0
59,81,13.0,6.0,4.0,6.0,1.0,2.542372881355932,3.6271186440677967,2.949152542372881,1.728813559322034,1.728813559322034,2
101,82,34.0,22.0,18.0,49.0,1.0,7.188118811881188,10.782178217821782,9.584158415841584,4.792079207920792,4.792079207920792,2
103,83,36.0,27.0,21.0,29.0,0.0,6.58252427184466,9.87378640776699,8.776699029126213,4.388349514563107,4.388349514563107,3
23,87,3.0,5.0,7.0,2.0,0.0,3.695652173913044,2.9565217391304346,3.695652173913044,2.217391304347826,2.217391304347826,1
2,94,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
26,95,4.0,42.0,4.0,0.0,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,3
1,99,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
54,107,41.0,15.0,20.0,78.0,0.0,0.0,0.0,1.648148148148148,0.0,0.0,2
10,109,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.4,0.4,2
31,125,0.0,1.0,0.0,0.0,0.0,0.064516129032258,0.032258064516129,0.0967741935483871,0.032258064516129,0.032258064516129,0
9,126,0.0,1.0,2.0,0.0,1.0,1.7777777777777777,1.8888888888888888,2.333333333333333,1.2222222222222223,1.2222222222222223,3
56,135,50.0,46.0,27.0,13.0,1.0,12.232142857142858,12.232142857142858,12.232142857142858,7.339285714285714,7.339285714285714,1
47,137,3.0,2.0,4.0,2.0,0.0,1.4042553191489362,1.872340425531915,1.4042553191489362,0.9361702127659576,0.9361702127659576,3
30,138,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,3
21,140,1.0,1.0,1.0,0.0,0.0,0.1904761904761904,0.1428571428571428,0.2857142857142857,0.0952380952380952,0.0952380952380952,1
1,141,2.0,2.0,2.0,1.0,0.0,35.0,35.0,35.0,21.0,21.0,0
21,142,3.0,5.0,7.0,3.0,2.0,5.714285714285714,5.714285714285714,6.666666666666667,3.809523809523809,3.809523809523809,3
75,143,28.0,36.0,13.0,3.0,3.0,5.84,7.786666666666667,7.786666666666667,3.8933333333333335,3.8933333333333335,0
6,144,1.0,1.0,1.0,0.0,0.0,0.5,1.5,1.5,0.5,0.5,0
47,146,6.0,15.0,11.0,0.0,0.0,4.085106382978723,4.76595744680851,5.446808510638298,2.723404255319149,2.723404255319149,2
67,150,14.0,5.0,4.0,4.0,2.0,1.2686567164179106,1.2835820895522387,1.7164179104477613,0.8507462686567164,0.8507462686567164,1
2,151,2.0,6.0,1.0,1.0,0.0,25.0,25.0,35.0,15.0,15.0,2
183,158,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1530054644808743,0.0,0.0,2
15,160,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.8666666666666667,0.8,0.4,0.4,0
9,161,0.0,3.0,0.0,0.0,0.0,1.8888888888888888,2.888888888888889,2.555555555555556,1.2222222222222223,1.2222222222222223,1
563,163,246.0,135.0,88.0,36.0,13.0,4.126110124333925,3.9857904085257543,4.575488454706927,2.586145648312611,2.586145648312611,1
